"estimate","se","ci_lower","ci_upper","true_beta","scenario"
2.09878932145717,0.288182027773268,1.56940634370063,2.59062528473547,2,18
2.02083680339894,0.207905912959976,1.61889407238146,2.42833069202023,2,18
2.41168783983393,0.200140858487279,2.02624618825111,2.73130148346129,2,18
1.76040249848253,0.261887200479118,1.23928859139915,2.26966788606158,2,18
2.13340856029504,0.229139489380169,1.66591743480041,2.57753305708298,2,18
1.48445274435912,0.264972410391496,0.998598368300687,1.99439398864556,2,18
2.18137821587702,0.235753379002935,1.74775255063914,2.62273958051507,2,18
1.61047474616745,0.295721082071798,0.962916579070265,2.19023074090139,2,18
2.18768162999615,0.244014969164838,1.76737314675988,2.70400443526328,2,18
1.58255795852313,0.248159811565029,1.14160665800786,2.04594905512237,2,18
2.49239924732029,0.268695580423898,2.04610016588039,3.03617133916579,2,18
1.72229755951994,0.303851369247671,1.10806056202235,2.38596494342567,2,18
1.76801292028504,0.296541189198826,1.08280378118104,2.28378838383389,2,18
1.87951829810088,0.258874526349362,1.38573200451143,2.40177125476442,2,18
1.68849681613064,0.349468942247659,1.04585864820771,2.45164267429013,2,18
2.02128203374087,0.309789484608947,1.36262395193211,2.61700320359797,2,18
2.16545859131484,0.340796492599059,1.56378057643422,2.95380828821172,2,18
2.15349617361779,0.260638394054002,1.61709545539301,2.65240515947714,2,18
2.20247667882775,0.244514800972521,1.67347058108385,2.69897060876411,2,18
2.22530588439231,0.220436013182071,1.85312784637359,2.62895406617139,2,18
1.78049874191283,0.218874451748736,1.36784050204529,2.21546511768754,2,18
1.99894113930115,0.45526961685983,1.15066366029354,2.99695432948133,2,18
2.47357602216183,0.328148077605664,1.83070270794769,3.13956312386996,2,18
1.95280096049396,0.353027597337953,1.33740768800021,2.69455014698627,2,18
1.70205009616443,0.224569979871782,1.2097909596043,2.16316074950436,2,18
2.06056257662331,0.283338332251535,1.53141005616232,2.74749264603865,2,18
1.84940187908733,0.227491860738114,1.40663825102513,2.29511415122538,2,18
1.8212623072714,0.251836282339926,1.33482237000241,2.28900618906833,2,18
2.2331855897443,0.275957668475116,1.72094062940592,2.7873780698263,2,18
1.94579225239039,0.231417362962594,1.50312265195484,2.41600608803143,2,18
2.49813207906165,0.308042057766493,1.9222968491505,3.20976179297946,2,18
2.189705803787,0.238689357278024,1.75035873136028,2.74386159813878,2,18
1.67883567515393,0.241346239320142,1.21609036538586,2.14453073427534,2,18
1.95441155001009,0.238735960949531,1.45657922501311,2.48447110409756,2,18
1.92776519157542,0.264636504015021,1.49910288823822,2.36202234081999,2,18
2.17649327439343,0.221557633134256,1.70569507582333,2.6034166354038,2,18
1.69836179896173,0.255812877111059,1.17918203677936,2.11727005088534,2,18
1.97313380330392,0.257671287548407,1.50035854533463,2.50354299925705,2,18
1.82394756093775,0.207970183338318,1.38444667434194,2.2331558194749,2,18
1.97059467980365,0.248249209108063,1.48620406518152,2.4494286527723,2,18
2.7358399948759,0.527427114379327,1.92400912418864,4.0098272211478,2,18
2.3192793082997,0.226280566875349,1.822343387981,2.75907533632836,2,18
2.40896209635131,0.289422614402216,1.89971584838117,3.00193000613827,2,18
2.0506689137888,0.20397412244904,1.63231401724903,2.49726225332789,2,18
2.31814499205059,0.247314261451622,1.84692471481562,2.81117556986606,2,18
1.70538392871115,0.26892354799603,1.2089685096486,2.2221763340609,2,18
2.10044468417548,0.338226798588361,1.51585774279068,2.76751134494513,2,18
2.58434304280575,0.309490996720567,2.02425009953813,3.20158812014416,2,18
2.29478861354186,0.212220368595313,1.86847039294247,2.67537978989943,2,18
