"scenario","mean","bias","variance_bias","coverage_rate","se_bias","se_coverage","runtime_mins"
1,0.0724283671513449,0.0724283671513449,1.06134499846226,0.978947368421053,0.0472695517545749,0.00658697571089278,73.9526348511378
2,-0.0179743207409976,-0.0179743207409976,0.165308235343513,0.945263157894737,0.0186552227959167,0.0104368497184489,85.1923375487328
3,0.00298127398113787,0.00298127398113787,0.0681880184667605,0.976842105263158,0.0119813906992434,0.00690104593875748,96.1154897173246
4,0.460537435426911,-0.0394625645730891,0.907783608095585,0.976744186046512,0.0437163972150541,0.00691527387604678,74.2554275155067
5,0.477571147172141,-0.0224288528278594,0.161002264374398,0.957894736842105,0.0184106527729206,0.00921468050361963,85.237122019132
6,0.497434417136399,-0.00256558286360059,0.0708887516311435,0.962105263157895,0.0122163610423971,0.00876100520089152,95.8627871354421
7,1.98889651518483,-0.0111034848151741,0.865665029845488,0.987368421052632,0.0426901943590276,0.00512414761294934,73.9466403166453
8,2.00845664276945,0.0084566427694508,0.172397826198812,0.930526315789474,0.0190510575033907,0.0116661535998931,84.9843262155851
9,1.98395226208865,-0.0160477379113451,0.074654452063739,0.957894736842105,0.0125366370092864,0.00921468050361963,89.7178301811218
10,-0.0162995406849588,-0.0162995406849588,0.951592596987523,0.974736842105263,0.0447588296960857,0.00720013607297185,68.4186353325844
11,0.0189450388472103,0.0189450388472103,0.144338500284883,0.943157894736842,0.0174318824834137,0.0106238143940281,79.8569853345553
12,-0.00814223566938875,-0.00814223566938875,0.0816665023270021,0.928421052631579,0.0131121881691487,0.0118281912717968,84.9391328533491
13,0.392885201227277,-0.107114798772723,0.888707459604433,0.980972515856237,0.0432546306521214,0.0062686251310411,68.8927019675573
14,0.497650841923311,-0.00234915807668939,0.154858782874627,0.934736842105263,0.0180559821184662,0.0113326615182418,78.8700667182604
15,0.479238315918162,-0.0207616840818385,0.0769902999353392,0.930526315789474,0.0127312545324149,0.0116661535998931,79.2555239836375
16,1.9690802610787,-0.0309197389213043,0.976854290941038,0.978902953586498,0.0453490391226711,0.00659377075190606,67.8770894487699
17,2.0091046483104,0.00910464831039759,0.164066595345227,0.936842105263158,0.0185850304982675,0.0111609257368593,46.3255293329557
18,2.00235557275871,0.00235557275870635,0.0699929273027379,0.941052631578947,0.0121389262772149,0.0108066817709946,41.5630929191907
