"estimate","se","ci_lower","ci_upper","true_beta","scenario"
1.7993686499328,0.264203125084418,1.27506614682334,2.32367115304226,2,9
1.79213294601868,0.277037441382754,1.2423611599143,2.34190473212306,2,9
2.18783969970912,0.257702217796684,1.67643803553695,2.6992413638813,2,9
1.76000576741145,0.241002261881468,1.28174462224475,2.23826691257815,2,9
2.11734522228586,0.28891736968759,1.54399810509865,2.69069233947308,2,9
1.65575638882504,0.284438507449464,1.09129742798261,2.22021534966747,2,9
2.22494988852011,0.26258103142124,1.70386637749339,2.74603339954683,2,9
1.70064120609654,0.292619767057256,1.11994680182556,2.28133561036751,2,9
2.05539589502149,0.279661761472586,1.50041623110863,2.61037555893435,2,9
2.56453425769297,0.273972004138487,2.02084573203368,3.10822278335226,2,9
1.94077299118162,0.292537642645471,1.36024156013306,2.52130442223019,2,9
2.17508001083495,0.287450154714962,1.60464453400968,2.74551548766022,2,9
2.65096652457494,0.26673210637223,2.12164534040676,3.18028770874313,2,9
2.03809031182997,0.33451006578989,1.37426597306445,2.7019146505955,2,9
2.17675423935303,0.28342758771106,1.61430141583058,2.73920706287548,2,9
2.08100778657325,0.275365128965758,1.53455465003418,2.62746092311233,2,9
1.73996645572459,0.312115839551293,1.12058273009846,2.35935018135072,2,9
2.04237743315406,0.30860983047188,1.42995126844123,2.65480359786688,2,9
2.16322714391268,0.250828266036918,1.66546661329162,2.66098767453374,2,9
1.3365043529,0.322502835157829,0.696507972542577,1.97650073325743,2,9
1.90685016403104,0.278557490017501,1.35406189088174,2.45963843718034,2,9
2.34195207197547,0.276504588456439,1.7932377151614,2.89066642878953,2,9
1.89502651791285,0.307008956675032,1.28577723514864,2.50427580067705,2,9
2.17257530441724,0.272757845308401,1.63129623744086,2.71385437139363,2,9
1.97866372889728,0.298461365581812,1.38637686247202,2.57095059532254,2,9
1.75392528577238,0.298138034245024,1.162280059862,2.34557051168277,2,9
1.85529332644461,0.264161859394685,1.33107271375342,2.37951393913581,2,9
2.56311240747913,0.291405054909282,1.9848285599324,3.14139625502586,2,9
1.52291527097577,0.281929622169091,0.96343511131934,2.08239543063221,2,9
2.266778376435,0.298919450110498,1.67358245617115,2.85997429669885,2,9
1.8258034827538,0.274981855214641,1.28011094049998,2.37149602500761,2,9
2.12831513139754,0.244747065570254,1.64262254518692,2.61400771760816,2,9
1.96628439964576,0.293107854475013,1.38462140177929,2.54794739751223,2,9
2.04583235489703,0.29215522827488,1.46605981272104,2.62560489707303,2,9
2.07155205791344,0.270741383600727,1.53427459356921,2.60882952225768,2,9
1.84569970495262,0.278779334139528,1.29247118936318,2.39892822054206,2,9
2.1079797233561,0.281902235972637,1.54855391071523,2.66740553599696,2,9
2.32601692754045,0.276120662130727,1.77806446002469,2.87396939505621,2,9
2.12495429887923,0.26221410954244,1.60459893237933,2.64530966537912,2,9
2.01717735450981,0.273501348978388,1.47442282869803,2.55993188032159,2,9
1.3724850866566,0.290500828805353,0.795995646384633,1.94897452692856,2,9
2.00657676307706,0.298837030524648,1.41354440179894,2.59960912435518,2,9
2.15580433755006,0.301604659997038,1.55727970565785,2.75432896944228,2,9
2.24524201191832,0.29481600048262,1.66018925389221,2.83029476994444,2,9
2.48093543783333,0.303485098363569,1.87867913720252,3.08319173846414,2,9
2.10631005674407,0.293417051775435,1.52403346689789,2.68858664659025,2,9
1.81835124393632,0.270074076207752,1.2823980293956,2.35430445847705,2,9
2.32495116386914,0.274871450973454,1.7794777152388,2.87042461249948,2,9
2.117146350934,0.260311257116237,1.60056713314463,2.63372556872336,2,9
2.23654506218101,0.294954350785498,1.65121775248151,2.82187237188051,2,9
1.74683214654112,0.296605992754826,1.15822720710699,2.33543708597525,2,9
2.56677649095784,0.262800328706694,2.04525779160527,3.0882951903104,2,9
2.1833908933618,0.26929523828906,1.64898325732305,2.71779852940055,2,9
2.28898981024086,0.245956118323499,1.80089789819064,2.77708172229108,2,9
1.63859433685045,0.26761412522533,1.10752281497403,2.16966585872688,2,9
2.10067930648043,0.287753600875537,1.52964165062531,2.67171696233556,2,9
1.1380381061269,0.277751758372922,0.586848781203328,1.68922743105046,2,9
2.15882267281813,0.289435234402537,1.58444786995827,2.733197475678,2,9
1.77790736534037,0.331789262568904,1.11948237201701,2.43633235866373,2,9
1.85467616332066,0.276275734928692,1.30641595888426,2.40293636775706,2,9
1.97406021409237,0.244565359221712,1.48872821821671,2.45939220996803,2,9
1.69908282069665,0.246069937075728,1.21076503903692,2.18740060235639,2,9
1.8499685836708,0.248058669365296,1.35770422750669,2.34223293983491,2,9
2.37231916404643,0.270945944249737,1.83463575575176,2.91000257234111,2,9
1.67717982383998,0.312111514683511,1.0578046807732,2.29655496690675,2,9
1.84964206607745,0.30455586728019,1.24526085938031,2.45402327277459,2,9
2.06508266886344,0.281575960421005,1.50630433943599,2.6238609982909,2,9
2.0632938513476,0.264714173433217,1.53797718942226,2.58861051327293,2,9
2.05870431673796,0.307684392569092,1.44811465342438,2.66929398005153,2,9
2.03963408170521,0.258809122738593,1.52603580070058,2.55323236270984,2,9
1.81437582547487,0.311262739881016,1.19668504837985,2.43206660256988,2,9
1.90766786604616,0.280569780892555,1.3508862671463,2.46444946494601,2,9
1.78388582722359,0.266803261105772,1.25442343880246,2.31334821564472,2,9
1.71647549963271,0.291976174505655,1.13705828383435,2.29589271543107,2,9
1.62351062927852,0.268742121014265,1.09020063647013,2.15682062208691,2,9
2.29860756597687,0.275830977522624,1.75122996813796,2.84598516381578,2,9
2.21629424922073,0.267212526601879,1.68601968674232,2.74656881169914,2,9
1.88090496075271,0.263130895020332,1.35873026330917,2.40307965819625,2,9
2.04237397583611,0.280329196906268,1.48606980802713,2.5986781436451,2,9
1.99469420694512,0.298876920267448,1.40158268577064,2.58780572811959,2,9
1.55086014443733,0.252417288712366,1.04994625003237,2.05177403884229,2,9
1.64430863551001,0.267067398822062,1.11432207438739,2.17429519663263,2,9
1.53074570475892,0.26570448915413,1.00346379351574,2.05802761600209,2,9
2.05620869291782,0.272513491738121,1.51541453764905,2.59700284818658,2,9
1.77397723931307,0.309626379378741,1.15953376637866,2.38842071224748,2,9
1.93937560612868,0.291922011600763,1.36006587485232,2.51868533740504,2,9
2.05311319233333,0.30487794911003,1.44809282472718,2.65813355993948,2,9
2.07377110093712,0.293888191469619,1.49055954970131,2.65698265217294,2,9
2.2557134348898,0.2697129815816,1.72047680088267,2.79095006889693,2,9
1.80064718999568,0.315697109994258,1.17415654972969,2.42713783026167,2,9
1.84483808646747,0.280370347308307,1.2884522570249,2.40122391591004,2,9
1.74297448562204,0.235580417423191,1.2754728143262,2.21047615691789,2,9
